serial_num,item_name,category,pickup_address,size,brand,manufacture_year,price,seller_email,buyer_email,sold,order_ID
74,Brown Leather Gloves,Men's accessories," 47 Herzl St, Jerusalem, Israel", XL,Hestra,2015,45,sarahjane@aol.com,NULL,0,
75,Silver Keychain,Men's accessories," 19 Dizengoff St, Tel Aviv, Israel", XXL,Tiffany & Co.,2017,25,tom.smith@outlook.com,NULL,0,
76,Black Sunglasses Case,Men's accessories," 27 HaYarkon St, Tel Aviv, Israel", S,Ray-Ban,2019,10,john.doe@gmail.com,NULL,0,
77,Brown Backpack,Men's accessories," 40 Herzl St, Haifa, Israel", M,Jansport,2015,35,jane.doe@hotmail.com,NULL,0,
78,Silver Money Clip,Men's accessories," 34 Ben Gurion Blvd, Netanya, Israel", L,Tiffany & Co.,2017,30,billybob@yahoo.com,NULL,0,
79,Black Baseball Cap,Men's accessories," 48 Herzl St, Jerusalem, Israel", XL,Nike,2019,20,sarahjane@aol.com,NULL,0,
80,Black Skinny Jeans,Women's pants," 20 Dizengoff St, Tel Aviv, Israel",6,Levi's,2015,35,tom.smith@outlook.com,NULL,0,
81,Dark Wash Bootcut Jeans,Women's pants," 28 HaYarkon St, Tel Aviv, Israel",8,Gap,2017,40,john.doe@gmail.com,NULL,0,
82,Light Wash Flare Jeans,Women's pants," 41 Herzl St, Haifa, Israel",10,J.Crew,2019,45,jane.doe@hotmail.com,NULL,0,
83,Black Cropped Pants,Women's pants," 35 Ben Gurion Blvd, Netanya, Israel",4,Banana Republic,2015,30,billybob@yahoo.com,NULL,0,
84,Striped Wide Leg Pants,Women's pants," 49 Herzl St, Jerusalem, Israel",6,Anthropologie,2017,45,sarahjane@aol.com,NULL,0,
85,High Waisted Jeans,Women's pants," 21 Dizengoff St, Tel Aviv, Israel",8,Madewell,2019,50,tom.smith@outlook.com,NULL,0,
86,Black Joggers,Women's pants," 29 HaYarkon St, Tel Aviv, Israel",10,Nike,2015,35,john.doe@gmail.com,NULL,0,
87,Cargo Pants,Women's pants," 42 Herzl St, Haifa, Israel",12,Old Navy,2017,40,jane.doe@hotmail.com,NULL,0,
88,Gray Sweatpants,Women's pants," 36 Ben Gurion Blvd, Netanya, Israel",14,Athleta,2019,35,billybob@yahoo.com,NULL,0,
89,Dark Wash Straight Leg Jeans,Women's pants," 50 Herzl St, Jerusalem, Israel",16,Lucky Brand,2015,45,sarahjane@aol.com,NULL,0,
90,White Wide Leg Pants,Women's pants," 22 Dizengoff St, Tel Aviv, Israel",18,Zara,2017,50,tom.smith@outlook.com,NULL,0,
91,Black Track Pants,Women's pants," 30 HaYarkon St, Tel Aviv, Israel",20,Adidas,2019,35,john.doe@gmail.com,NULL,0,
92,Striped Joggers,Women's pants," 43 Herzl St, Haifa, Israel",22,Puma,2015,40,jane.doe@hotmail.com,NULL,0,
93,High Waisted Leggings,Women's pants," 37 Ben Gurion Blvd, Netanya, Israel",24,Lululemon,2017,45,billybob@yahoo.com,NULL,0,
94,Skinny Jeans,Women's pants," 51 Herzl St, Jerusalem, Israel",26,AG,2019,50,sarahjane@aol.com,NULL,0,
95,Dark Wash Boyfriend Jeans,Women's pants," 23 Dizengoff St, Tel Aviv, Israel",28,Frame,2015,45,tom.smith@outlook.com,NULL,0,
96,Black Wide Leg Trousers,Women's pants," 31 HaYarkon St, Tel Aviv, Israel",30,Theory,2017,50,john.doe@gmail.com,NULL,0,
97,Cigarette Pants,Women's pants," 44 Herzl St, Haifa, Israel",32,Diane von Furstenberg,2019,45,jane.doe@hotmail.com,NULL,0,
98,Striped Culottes,Women's pants," 38 Ben Gurion Blvd, Netanya, Israel",34,J.Crew,2015,50,billybob@yahoo.com,NULL,0,
99,High Waisted Shorts,Women's pants," 52 Herzl St, Jerusalem, Israel",36,Madewell,2017,35,sarahjane@aol.com,NULL,0,
100,White T-Shirt,Women's shirts," 24 Dizengoff St, Tel Aviv, Israel",S,Hanes,2015,10,tom.smith@outlook.com,NULL,0,
101,Striped Button-Up Shirt,Women's shirts," 32 HaYarkon St, Tel Aviv, Israel",M,Gap,2017,15,john.doe@gmail.com,NULL,0,
102,Black Tank Top,Women's shirts," 45 Herzl St, Haifa, Israel",L,Old Navy,2019,12,jane.doe@hotmail.com,NULL,0,
103,Gray Hoodie,Women's shirts," 39 Ben Gurion Blvd, Netanya, Israel",S,Nike,2015,20,billybob@yahoo.com,NULL,0,
104,White Blouse,Women's shirts," 53 Herzl St, Jerusalem, Israel",M,Banana Republic,2017,25,sarahjane@aol.com,NULL,0,
105,Striped T-Shirt,Women's shirts," 25 Dizengoff St, Tel Aviv, Israel",L,J.Crew,2019,15,tom.smith@outlook.com,NULL,0,
106,Black Long Sleeve T-Shirt,Women's shirts," 33 HaYarkon St, Tel Aviv, Israel",XL,H&M,2015,18,john.doe@gmail.com,NULL,0,
107,Gray Henley Shirt,Women's shirts," 46 Herzl St, Haifa, Israel",XXL,Gap,2017,22,jane.doe@hotmail.com,NULL,0,
108,White Tank Top,Women's shirts," 40 Ben Gurion Blvd, Netanya, Israel",XS,Old Navy,2019,12,billybob@yahoo.com,NULL,0,
109,Striped Sweatshirt,Women's shirts," 54 Herzl St, Jerusalem, Israel",S,Adidas,2015,20,sarahjane@aol.com,NULL,0,
110,Black Polo Shirt,Women's shirts," 26 Dizengoff St, Tel Aviv, Israel",M,Ralph Lauren,2017,25,tom.smith@outlook.com,NULL,0,
111,Gray Button-Up Shirt,Women's shirts," 34 HaYarkon St, Tel Aviv, Israel",L,Brooks Brothers,2019,35,john.doe@gmail.com,NULL,0,
112,White V-Neck T-Shirt,Women's shirts," 47 Herzl St, Haifa, Israel",XL,Hanes,2015,12,jane.doe@hotmail.com,NULL,0,
113,Striped Hoodie,Women's shirts," 41 Ben Gurion Blvd, Netanya, Israel",XXL,Gap,2017,20,billybob@yahoo.com,NULL,0,
114,Black Graphic T-Shirt,Women's shirts," 55 Herzl St, Jerusalem, Israel",XS,Old Navy,2019,15,sarahjane@aol.com,NULL,0,
115,Gray Crewneck Sweatshirt,Women's shirts," 27 Dizengoff St, Tel Aviv, Israel",S,Nike,2015,25,tom.smith@outlook.com,NULL,0,
116,White Henley Shirt,Women's shirts," 35 HaYarkon St, Tel Aviv, Israel",M,Banana Republic,2017,35,john.doe@gmail.com,NULL,0,
117,Striped Blouse,Women's shirts," 48 Herzl St, Haifa, Israel",L,J.Crew,2019,30,jane.doe@hotmail.com,NULL,0,
118,Black Tank Top,Women's shirts," 42 Ben Gurion Blvd, Netanya, Israel",XL,Old Navy,2015,12,billybob@yahoo.com,NULL,0,
119,Gray T-Shirt,Women's shirts," 56 Herzl St, Jerusalem, Israel",XXL,Hanes,2017,15,sarahjane@aol.com,NULL,0,
120,Black Pumps,Women's shoes," 28 Dizengoff St, Tel Aviv, Israel",8,Jimmy Choo,2015,50,tom.smith@outlook.com,NULL,0,
121,Brown Boots,Women's shoes," 36 HaYarkon St, Tel Aviv, Israel",9,Ugg,2017,60,john.doe@gmail.com,NULL,0,
122,Tan Sandals,Women's shoes," 49 Herzl St, Haifa, Israel",10,Steve Madden,2019,45,jane.doe@hotmail.com,NULL,0,
123,Gray Sneakers,Women's shoes," 43 Ben Gurion Blvd, Netanya, Israel",8,Nike,2015,55,billybob@yahoo.com,NULL,0,
124,Black Flats,Women's shoes," 57 Herzl St, Jerusalem, Israel",9,Tory Burch,2017,60,sarahjane@aol.com,NULL,0,
125,Brown Loafers,Women's shoes," 29 Dizengoff St, Tel Aviv, Israel",10,Cole Haan,2019,50,tom.smith@outlook.com,NULL,0,
126,Tan Wedges,Women's shoes," 37 HaYarkon St, Tel Aviv, Israel",8,Steve Madden,2015,55,john.doe@gmail.com,NULL,0,
127,Gray Ankle Boots,Women's shoes," 50 Herzl St, Haifa, Israel",9,Ugg,2017,65,jane.doe@hotmail.com,NULL,0,
128,Black Slingbacks,Women's shoes," 44 Ben Gurion Blvd, Netanya, Israel",10,Jimmy Choo,2019,50,billybob@yahoo.com,NULL,0,
129,Brown Oxfords,Women's shoes," 58 Herzl St, Jerusalem, Israel",8,Brooks Brothers,2015,60,sarahjane@aol.com,NULL,0,
130,Tan Mules,Women's shoes," 30 Dizengoff St, Tel Aviv, Israel",9,Sam Edelman,2017,55,tom.smith@outlook.com,NULL,0,
131,Gray High-tops,Women's shoes," 38 HaYarkon St, Tel Aviv, Israel",10,Adidas,2019,60,john.doe@gmail.com,NULL,0,
132,Black Knee-high Boots,Women's shoes," 51 Herzl St, Haifa, Israel",8,Ugg,2015,70,jane.doe@hotmail.com,NULL,0,
133,Brown Slip-ons,Women's shoes," 45 Ben Gurion Blvd, Netanya, Israel",9,Toms,2017,60,billybob@yahoo.com,NULL,0,
134,Tan Espadrilles,Women's shoes," 59 Herzl St, Jerusalem, Israel",10,Soludos,2019,50,sarahjane@aol.com,NULL,0,
135,Gray Running Shoes,Women's shoes," 31 Dizengoff St, Tel Aviv, Israel",8,Nike,2015,65,tom.smith@outlook.com,NULL,0,
136,Black Ballet Flats,Women's shoes," 39 HaYarkon St, Tel Aviv, Israel",9,Tory Burch,2017,60,john.doe@gmail.com,NULL,0,
137,Brown Derbies,Women's shoes," 52 Herzl St, Haifa, Israel",10,Allen Edmonds,2019,70,jane.doe@hotmail.com,NULL,0,
138,Tan Ankle Strap Sandals,Women's shoes," 46 Ben Gurion Blvd, Netanya, Israel",8,Steve Madden,2015,55,billybob@yahoo.com,NULL,0,
139,Gray Chelsea Boots,Women's shoes," 60 Herzl St, Jerusalem, Israel",9,Dr. Martens,2017,65,sarahjane@aol.com,NULL,0,
140,Gold Hoop Earrings,Women's accessories," 32 Dizengoff St, Tel Aviv, Israel",One Size,Kate Spade,2015,35,tom.smith@outlook.com,NULL,0,
141,Silver Bracelet,Women's accessories," 40 HaYarkon St, Tel Aviv, Israel",Adjustable,Tiffany & Co.,2017,60,john.doe@gmail.com,NULL,0,
142,Black Sunglasses,Women's accessories," 53 Herzl St, Haifa, Israel",One Size,Prada,2019,50,jane.doe@hotmail.com,NULL,0,
143,Leather Handbag,Women's accessories," 47 Ben Gurion Blvd, Netanya, Israel",One Size,Michael Kors,2015,65,billybob@yahoo.com,NULL,0,
144,Pearl Necklace,Women's accessories," 61 Herzl St, Jerusalem, Israel",Adjustable,Tiffany & Co.,2017,70,sarahjane@aol.com,NULL,0,
145,Black Scarf,Women's accessories," 33 Dizengoff St, Tel Aviv, Israel",One Size,Hermes,2019,50,tom.smith@outlook.com,NULL,0,
146,Leather Belt,Women's accessories," 41 HaYarkon St, Tel Aviv, Israel",34,Gucci,2015,60,john.doe@gmail.com,NULL,0,
147,Gold Watch,Women's accessories," 54 Herzl St, Haifa, Israel",Adjustable,Movado,2017,80,jane.doe@hotmail.com,NULL,0,
148,Black Headband,Women's accessories," 48 Ben Gurion Blvd, Netanya, Israel",One Size,Dior,2019,35,billybob@yahoo.com,NULL,0,
149,Leather Wallet,Women's accessories," 62 Herzl St, Jerusalem, Israel",One Size,Coach,2015,60,sarahjane@aol.com,NULL,0,
150,Silver Earrings,Women's accessories," 34 Dizengoff St, Tel Aviv, Israel",One Size,Tiffany & Co.,2017,50,tom.smith@outlook.com,NULL,0,
151,Black Sunglasses Case,Women's accessories," 42 HaYarkon St, Tel Aviv, Israel",One Size,Ray-Ban,2019,25,john.doe@gmail.com,NULL,0,
152,Leather Keychain,Women's accessories," 55 Herzl St, Haifa, Israel",One Size,Louis Vuitton,2015,35,jane.doe@hotmail.com,NULL,0,
153,Gold Necklace,Women's accessories," 49 Ben Gurion Blvd, Netanya, Israel",Adjustable,David Yurman,2017,80,billybob@yahoo.com,NULL,0,
154,Black Hat,Women's accessories," 63 Herzl St, Jerusalem, Israel",One Size,Chanel,2019,50,sarahjane@aol.com,NULL,0,
155,Leather Phone Case,Women's accessories," 35 Dizengoff St, Tel Aviv, Israel",One Size,Kate Spade,2015,40,tom.smith@outlook.com,NULL,0,
156,Silver Bracelet,Women's accessories," 43 HaYarkon St, Tel Aviv, Israel",Adjustable,Pandora,2017,55,john.doe@gmail.com,NULL,0,
157,Black Gloves,Women's accessories," 56 Herzl St, Haifa, Israel",One Size,Burberry,2019,45,jane.doe@hotmail.com,NULL,0,
158,Leather Tote,Women's accessories," 50 Ben Gurion Blvd, Netanya, Israel",One Size,Coach,2015,70,billybob@yahoo.com,NULL,0,
159,Gold Ring,Women's accessories," 64 Herzl St, Jerusalem, Israel",Adjustable,David Yurman,2017,75,sarahjane@aol.com,NULL,0,
